ALDER;CIVILSTAND;TID;INDHOLD
I alt;Ugift;2020K1;2844060
I alt;Gift/separeret;2020K1;2146017
0 år;Ugift;2020K1;61466
0 år;Gift/separeret;2020K1;0
1 år;Ugift;2020K1;61916
1 år;Gift/separeret;2020K1;0
2 år;Ugift;2020K1;62148
2 år;Gift/separeret;2020K1;0
3 år;Ugift;2020K1;62697
3 år;Gift/separeret;2020K1;0
4 år;Ugift;2020K1;59661
4 år;Gift/separeret;2020K1;0
5 år;Ugift;2020K1;58993
5 år;Gift/separeret;2020K1;0
6 år;Ugift;2020K1;58415
6 år;Gift/separeret;2020K1;0
7 år;Ugift;2020K1;60745
7 år;Gift/separeret;2020K1;0
8 år;Ugift;2020K1;61926
8 år;Gift/separeret;2020K1;0
9 år;Ugift;2020K1;66522
9 år;Gift/separeret;2020K1;0
10 år;Ugift;2020K1;66254
10 år;Gift/separeret;2020K1;0
11 år;Ugift;2020K1;68649
11 år;Gift/separeret;2020K1;0
12 år;Ugift;2020K1;67673
12 år;Gift/separeret;2020K1;0
13 år;Ugift;2020K1;68523
13 år;Gift/separeret;2020K1;0
14 år;Ugift;2020K1;67530
14 år;Gift/separeret;2020K1;0
15 år;Ugift;2020K1;67768
15 år;Gift/separeret;2020K1;0
16 år;Ugift;2020K1;67948
16 år;Gift/separeret;2020K1;0
17 år;Ugift;2020K1;67304
17 år;Gift/separeret;2020K1;0
18 år;Ugift;2020K1;68617
18 år;Gift/separeret;2020K1;22
19 år;Ugift;2020K1;71504
19 år;Gift/separeret;2020K1;115
20 år;Ugift;2020K1;71833
20 år;Gift/separeret;2020K1;281
21 år;Ugift;2020K1;73207
21 år;Gift/separeret;2020K1;664
22 år;Ugift;2020K1;75122
22 år;Gift/separeret;2020K1;1258
23 år;Ugift;2020K1;75745
23 år;Gift/separeret;2020K1;2114
24 år;Ugift;2020K1;77467
24 år;Gift/separeret;2020K1;3646
25 år;Ugift;2020K1;76345
25 år;Gift/separeret;2020K1;5721
26 år;Ugift;2020K1;71228
26 år;Gift/separeret;2020K1;8353
27 år;Ugift;2020K1;68537
27 år;Gift/separeret;2020K1;11834
28 år;Ugift;2020K1;62475
28 år;Gift/separeret;2020K1;14949
29 år;Ugift;2020K1;58328
29 år;Gift/separeret;2020K1;18836
30 år;Ugift;2020K1;52300
30 år;Gift/separeret;2020K1;22174
31 år;Ugift;2020K1;46450
31 år;Gift/separeret;2020K1;25138
32 år;Ugift;2020K1;40898
32 år;Gift/separeret;2020K1;27131
33 år;Ugift;2020K1;37539
33 år;Gift/separeret;2020K1;28994
34 år;Ugift;2020K1;34180
34 år;Gift/separeret;2020K1;30281
35 år;Ugift;2020K1;30423
35 år;Gift/separeret;2020K1;30981
36 år;Ugift;2020K1;27835
36 år;Gift/separeret;2020K1;31663
37 år;Ugift;2020K1;26510
37 år;Gift/separeret;2020K1;33571
38 år;Ugift;2020K1;24551
38 år;Gift/separeret;2020K1;34543
39 år;Ugift;2020K1;24424
39 år;Gift/separeret;2020K1;37175
40 år;Ugift;2020K1;23254
40 år;Gift/separeret;2020K1;38605
